SH1165324.09FU,85,4833,0,0,4,8,0,44,22,135,0,0,12,47,1,0,5,39,16,0,0,11,0,57,88,0,22,0,72,0,21,11,15,314,53,89,27,0,30,31,121,0,31,18,45,3,52,4,24,0,15,16,44,10,10,30,12,8,0,40,5,47,0,15,0,14,0,27,2,896,27,128,2,41,181,43,29,9,31,5,17,6,21,1,0,601,7,84,0,15,2,713,16,5,41,25,13,6,82,0,5,2,0,0,1,2,0,1,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100%|Cladophialophora_sp|UDB03027900|SH1165324.09FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_sp
SH1257613.09FU,25,4479,0,0,3,0,0,0,6,15,0,0,0,0,0,0,0,0,0,2479,0,1,826,55,0,0,0,23,1,0,0,0,0,4,0,0,2,0,56,0,0,332,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,650,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,100%|Inocybe_bulbinella|KJ756486|SH1257613.09FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_bulbinella
SH1174080.09FU,76,4406,101,0,13,77,53,163,0,32,0,0,139,17,20,10,12,0,107,58,48,16,26,0,40,82,0,45,81,12,164,220,19,22,6,28,15,6,0,5,270,0,107,132,60,0,3,1,231,10,110,22,14,0,162,0,79,0,0,142,11,0,12,165,0,0,3,4,3,11,63,20,1,117,23,0,118,150,45,0,2,10,32,0,220,22,0,28,176,20,0,75,0,0,35,4,1,38,0,0,4,8,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Laccaria_sp|UDB02436252|SH1174080.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hydnangiaceae;g__Laccaria;s__Laccaria_sp
SH1206493.09FU,23,3958,0,47,0,0,0,2,0,0,64,3043,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,157,0,174,0,1,1,0,2,0,0,18,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,230,0,0,0,0,1,0,0,2,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,100%|Russula_sp|DQ178934|SH1206493.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp
SH1164360.09FU,33,3869,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,83,0,0,16,0,0,86,0,0,8,10,25,2,0,0,68,0,5,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,77,0,0,5,0,0,0,0,4,0,20,6,1,3,0,0,148,0,142,3009,5,0,0,4,0,3,0,0,6,85,0,0,0,0,0,2,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Russula_sp|DQ388828|SH1164360.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp
SH1275915.09FU,83,3721,0,15,0,3,138,50,0,7,49,10,15,5,0,447,0,12,10,31,3,19,58,1,77,34,90,165,0,24,9,15,0,34,3,0,22,282,25,251,0,0,23,20,4,7,42,14,8,19,19,0,5,0,29,5,7,3,41,8,12,6,103,37,0,9,60,17,13,0,37,18,0,5,44,27,94,2,146,0,0,28,20,16,590,28,0,52,111,31,0,5,0,1,4,5,1,0,16,7,1,0,10,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,100%|Clavulina_sp|UDB03751280|SH1275915.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Clavulina;s__Clavulina_sp
SH2637969.09FU,58,3528,17,0,0,382,22,3,0,3,0,0,54,61,0,19,0,0,3,5,18,1,1,0,0,0,0,1,0,1,12,0,0,1,0,1,1,3,2,0,0,1,8,4,7,1,0,0,0,0,0,1499,1,0,2,22,0,0,0,4,0,0,0,7,1,0,0,721,0,0,0,0,0,0,0,0,1,5,0,0,0,1,220,1,0,0,1,1,5,0,2,0,2,1,67,1,2,0,5,24,1,208,11,3,2,1,66,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,100%|Cryptococcus_nyarrowii|KY103594|SH2637969.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus_nyarrowii
SH1306518.09FU,63,3501,0,212,0,5,0,26,0,9,0,0,46,2,0,1294,2,1,58,0,0,4,168,0,0,500,0,44,0,242,8,23,0,4,0,0,0,4,0,1,0,0,35,9,9,0,10,0,6,8,9,0,41,9,13,0,364,0,0,33,0,0,5,5,10,2,28,1,3,0,15,11,1,24,5,0,0,31,2,0,0,43,2,0,15,7,0,2,3,1,0,0,9,0,0,9,38,2,0,13,2,0,6,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,100%|Mortierella_sp|UDB04538945|SH1306518.09FU|reps|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp
SH1151091.09FU,55,3497,0,1,0,38,0,585,0,8,0,3,148,4,0,6,1,0,26,0,0,3,0,1,0,0,0,0,0,2,31,34,1,7,0,18,1,844,0,1,1,0,565,36,27,0,13,0,11,2,350,0,2,1,22,0,6,0,0,15,3,0,0,0,0,0,0,11,1,0,3,104,0,12,2,1,0,37,0,0,0,1,135,0,0,358,0,0,0,0,0,0,0,0,2,2,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,100%|Cortinarius_sp|MN846533|SH1151091.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_sp
SH1046764.09FU,49,3410,0,0,0,388,77,41,0,5,0,88,91,39,0,3,138,0,2,63,0,0,1298,2,0,108,0,0,0,0,41,0,0,3,0,1,0,0,0,0,0,0,10,166,7,0,0,0,6,82,17,0,5,0,1,0,11,92,22,10,0,0,1,8,0,0,0,0,3,0,22,6,0,24,0,0,0,5,10,0,54,0,4,0,0,37,0,383,0,3,0,0,0,0,25,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100%|Russula_sp|UDB06085855|SH1046764.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp
